type,latency
Completed4,168
Completed1,182
Completed4,211
Completed4,226
Completed4,228
Completed3,231
Completed4,248
Completed4,283
Completed4,309
Completed1,320
Completed2,328
Completed2,331
Completed1,333
Completed3,336
Completed2,339
Completed2,341
Completed1,343
Completed1,355
Completed3,370
Completed2,380
Completed1,383
Completed1,386
Completed1,387
Completed2,396
Completed1,401
Completed1,430
Completed3,437
Completed1,464
Completed2,471
Completed2,474
Completed1,482
Completed1,485
Completed1,499
Completed1,503
Completed1,520
Completed2,544
Completed1,547
Completed1,550
Completed2,563
Completed1,567
Completed1,574
Completed2,584
Completed1,593
Completed2,600
Completed1,617
Completed2,622
Completed1,641
Completed1,643
Completed1,645
Completed1,650
Completed1,651
Completed1,655
Completed1,657
Completed2,678
Completed1,699
Completed1,760
Completed1,762
Completed1,770
Completed2,783
Completed1,785
Completed1,790
Completed1,795
Completed1,801
Completed2,824
Completed1,831
Completed3,833
Completed1,835
Completed1,843
Completed1,845
Completed1,852
Completed2,869
Completed1,876
Completed2,884
Completed1,887
Completed1,891
GameOver,505
GameOver,710
GameOver,895
BadDrop,169
BadDrop,468
